,filename,xml_to_json_success
0,0.pdf,True
1,1.pdf,True
2,2.pdf,True
3,3.pdf,True
4,4.pdf,True
5,5.pdf,True
6,6.pdf,True
7,7.pdf,True
8,8.pdf,True
9,9.pdf,True
10,10.pdf,True
11,11.pdf,True
12,12.pdf,True
13,13.pdf,True
14,14.pdf,True
15,15.pdf,True
16,16.pdf,True
17,17.pdf,True
18,18.pdf,True
19,19.pdf,True
20,20.pdf,True
21,21.pdf,True
22,22.pdf,True
23,23.pdf,True
24,24.pdf,True
25,25.pdf,True
26,26.pdf,True
27,27.pdf,True
28,28.pdf,True
29,29.pdf,True
30,30.pdf,True
31,31.pdf,True
32,32.pdf,True
33,33.pdf,True
34,34.pdf,True
35,35.pdf,True
36,36.pdf,True
37,37.pdf,True
38,38.pdf,True
39,39.pdf,True
40,40.pdf,True
41,41.pdf,True
42,42.pdf,True
43,43.pdf,True
44,44.pdf,True
45,45.pdf,True
46,46.pdf,True
47,47.pdf,True
48,48.pdf,True
49,49.pdf,True
50,50.pdf,True
51,51.pdf,True
52,52.pdf,True
53,53.pdf,True
54,54.pdf,True
55,55.pdf,True
56,56.pdf,True
57,57.pdf,True
58,58.pdf,True
59,59.pdf,True
60,60.pdf,True
61,61.pdf,True
62,62.pdf,True
63,63.pdf,True
64,64.pdf,True
65,65.pdf,True
66,66.pdf,True
67,67.pdf,True
68,68.pdf,True
69,69.pdf,True
70,70.pdf,True
71,71.pdf,True
72,72.pdf,True
73,73.pdf,True
74,74.pdf,True
75,75.pdf,True
76,76.pdf,True
77,77.pdf,True
78,78.pdf,True
79,79.pdf,True
80,80.pdf,True
81,81.pdf,True
82,82.pdf,True
83,83.pdf,True
84,84.pdf,True
85,85.pdf,True
86,86.pdf,True
87,87.pdf,True
88,88.pdf,True
89,89.pdf,True
90,90.pdf,True
91,91.pdf,True
92,92.pdf,True
93,93.pdf,True
94,94.pdf,True
95,95.pdf,True
96,96.pdf,True
97,97.pdf,True
98,98.pdf,True
99,99.pdf,True
100,100.pdf,True
101,101.pdf,True
102,102.pdf,True
103,103.pdf,True
104,104.pdf,True
105,105.pdf,True
106,106.pdf,True
107,107.pdf,True
108,108.pdf,True
109,109.pdf,True
110,110.pdf,True
111,111.pdf,True
112,112.pdf,True
113,113.pdf,True
114,114.pdf,True
115,115.pdf,True
116,116.pdf,True
117,117.pdf,True
118,118.pdf,True
119,119.pdf,True
120,120.pdf,True
121,121.pdf,True
122,122.pdf,True
123,123.pdf,True
124,124.pdf,True
125,125.pdf,True
126,126.pdf,True
127,127.pdf,True
128,128.pdf,True
129,129.pdf,True
130,130.pdf,True
131,131.pdf,True
132,132.pdf,True
133,133.pdf,True
134,134.pdf,True
135,135.pdf,True
136,136.pdf,True
137,137.pdf,True
138,138.pdf,True
139,139.pdf,True
140,140.pdf,True
141,141.pdf,True
142,142.pdf,True
143,143.pdf,True
144,144.pdf,True
145,145.pdf,True
146,146.pdf,True
147,147.pdf,True
148,148.pdf,True
149,149.pdf,True
150,150.pdf,True
151,151.pdf,True
152,152.pdf,True
153,153.pdf,True
154,154.pdf,True
155,155.pdf,True
156,156.pdf,True
157,157.pdf,True
158,158.pdf,True
159,159.pdf,True
